tax_id	object_id	object_label	object_categories	object_aliases	subject_label	start	end
1226968	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1261403	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1261403	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1261403	GO:0006113	fermentation	[]	[]	fermentation		
1612173	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
197653	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1148786	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
203699	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
764842	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1158459	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
634127	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1166257	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
162154	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1321365	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1097	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
35701	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
39152	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
42879	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1066	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
28066	GO:0006113	fermentation	[]	[]	fermentation		
28066	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
28068	GO:0006113	fermentation	[]	[]	fermentation		
28068	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
60552	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1082	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1083	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
33996	GO:0006113	fermentation	[]	[]	fermentation		
33996	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1071	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
55518	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1084	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1049	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
61595	GO:0043419	urea catabolic process	[]	[]	urea degradation		
61595	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1064514	GO:0043419	urea catabolic process	[]	[]	urea degradation		
1064514	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1048	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1057	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
13725	GO:0043419	urea catabolic process	[]	[]	urea degradation		
13725	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
61597	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
57489	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
84035	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
85450	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1492	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1492	GO:0006113	fermentation	[]	[]	fermentation		
384	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
29449	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
399	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
56730	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
56731	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
52131	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
67774	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
57676	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
398	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
78527	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
110321	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
36856	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
110322	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
381	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1063	GO:0006113	fermentation	[]	[]	fermentation		
1085	GO:0006113	fermentation	[]	[]	fermentation		
1085	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
330920	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
