subject	edge_label	object	relation	provided_by
DSMZ:514b	biolink:supportsGrowth	NCBITaxon:930118		BACDIVE:23575
NCBITaxon:1869190	biolink:growsIn	DSMZ:381		BACDIVE:23503
DSMZ:381	biolink:supportsGrowth	NCBITaxon:1869190		BACDIVE:23503
NCBITaxon:2001	biolink:growsIn	DSMZ:425		BACDIVE:16590
DSMZ:425	biolink:supportsGrowth	NCBITaxon:2001		BACDIVE:16590
NCBITaxon:404881	biolink:growsIn	DSMZ:948		BACDIVE:13863
DSMZ:948	biolink:supportsGrowth	NCBITaxon:404881		BACDIVE:13863
NCBITaxon:1449351	biolink:growsIn	DSMZ:514		BACDIVE:13760
DSMZ:514	biolink:supportsGrowth	NCBITaxon:1449351		BACDIVE:13760
NCBITaxon:56	biolink:growsIn	DSMZ:9		BACDIVE:12425
DSMZ:9	biolink:supportsGrowth	NCBITaxon:56		BACDIVE:12425
NCBITaxon:1122206	biolink:growsIn	DSMZ:381		BACDIVE:11272
DSMZ:381	biolink:supportsGrowth	NCBITaxon:1122206		BACDIVE:11272
NCBITaxon:83456	biolink:growsIn	DSMZ:9		BACDIVE:9954
DSMZ:9	biolink:supportsGrowth	NCBITaxon:83456		BACDIVE:9954
NCBITaxon:184914	biolink:growsIn	DSMZ:9		BACDIVE:9287
DSMZ:9	biolink:supportsGrowth	NCBITaxon:184914		BACDIVE:9287
NCBITaxon:184914	biolink:growsIn	DSMZ:9		BACDIVE:9238
DSMZ:9	biolink:supportsGrowth	NCBITaxon:184914		BACDIVE:9238
NCBITaxon:184914	biolink:growsIn	DSMZ:9		BACDIVE:8712
DSMZ:9	biolink:supportsGrowth	NCBITaxon:184914		BACDIVE:8712
NCBITaxon:562	biolink:growsIn	DSMZ:381		BACDIVE:4719
DSMZ:381	biolink:supportsGrowth	NCBITaxon:562		BACDIVE:4719
NCBITaxon:89152	biolink:growsIn	DSMZ:104c		BACDIVE:2798
DSMZ:104c	biolink:supportsGrowth	NCBITaxon:89152		BACDIVE:2798
NCBITaxon:78344	biolink:growsIn	DSMZ:58		BACDIVE:1730
DSMZ:58	biolink:supportsGrowth	NCBITaxon:78344		BACDIVE:1730
NCBITaxon:33935	biolink:growsIn	DSMZ:1		BACDIVE:1542
DSMZ:1	biolink:supportsGrowth	NCBITaxon:33935		BACDIVE:1542
NCBITaxon:1428	biolink:growsIn	DSMZ:1		BACDIVE:1014
DSMZ:1	biolink:supportsGrowth	NCBITaxon:1428		BACDIVE:1014
NCBITaxon:194673	biolink:growsIn	DSMZ:65		BACDIVE:160309
DSMZ:65	biolink:supportsGrowth	NCBITaxon:194673		BACDIVE:160309
NCBITaxon:853	biolink:growsIn	DSMZ:110		BACDIVE:159475
DSMZ:110	biolink:supportsGrowth	NCBITaxon:853		BACDIVE:159475
NCBITaxon:74426	biolink:growsIn	DSMZ:1203a		BACDIVE:158954
DSMZ:1203a	biolink:supportsGrowth	NCBITaxon:74426		BACDIVE:158954
NCBITaxon:1940790	biolink:growsIn	DSMZ:1527		BACDIVE:158251
DSMZ:1527	biolink:supportsGrowth	NCBITaxon:1940790		BACDIVE:158251
NCBITaxon:267	biolink:growsIn	DSMZ:830		BACDIVE:158012
DSMZ:830	biolink:supportsGrowth	NCBITaxon:267		BACDIVE:158012
NCBITaxon:1086726	biolink:growsIn	DSMZ:1600		BACDIVE:139941
DSMZ:1600	biolink:supportsGrowth	NCBITaxon:1086726		BACDIVE:139941
NCBITaxon:1410681	biolink:growsIn	DSMZ:1132		BACDIVE:131381
DSMZ:1132	biolink:supportsGrowth	NCBITaxon:1410681		BACDIVE:131381
NCBITaxon:767916	biolink:growsIn	DSMZ:645		BACDIVE:130465
DSMZ:645	biolink:supportsGrowth	NCBITaxon:767916		BACDIVE:130465
NCBITaxon:559956	biolink:growsIn	DSMZ:514b		BACDIVE:24746
DSMZ:514b	biolink:supportsGrowth	NCBITaxon:559956		BACDIVE:24746
NCBITaxon:453582	biolink:growsIn	DSMZ:27		BACDIVE:13823
DSMZ:27	biolink:supportsGrowth	NCBITaxon:453582		BACDIVE:13823
NCBITaxon:2074	biolink:growsIn	DSMZ:214		BACDIVE:13336
DSMZ:214	biolink:supportsGrowth	NCBITaxon:2074		BACDIVE:13336
NCBITaxon:688246	biolink:growsIn	DSMZ:104		BACDIVE:12543
DSMZ:104	biolink:supportsGrowth	NCBITaxon:688246		BACDIVE:12543
NCBITaxon:2014	biolink:growsIn	DSMZ:65		BACDIVE:11164
DSMZ:65	biolink:supportsGrowth	NCBITaxon:2014		BACDIVE:11164
NCBITaxon:1823	biolink:growsIn	DSMZ:426		BACDIVE:10683
DSMZ:426	biolink:supportsGrowth	NCBITaxon:1823		BACDIVE:10683
NCBITaxon:54	biolink:growsIn	DSMZ:9		BACDIVE:10292
DSMZ:9	biolink:supportsGrowth	NCBITaxon:54		BACDIVE:10292
NCBITaxon:54	biolink:growsIn	DSMZ:9		BACDIVE:10237
DSMZ:9	biolink:supportsGrowth	NCBITaxon:54		BACDIVE:10237
NCBITaxon:184914	biolink:growsIn	DSMZ:9		BACDIVE:9394
DSMZ:9	biolink:supportsGrowth	NCBITaxon:184914		BACDIVE:9394
NCBITaxon:47715	biolink:growsIn	DSMZ:11		BACDIVE:6424
DSMZ:11	biolink:supportsGrowth	NCBITaxon:47715		BACDIVE:6424
NCBITaxon:562	biolink:growsIn	DSMZ:381		BACDIVE:4760
DSMZ:381	biolink:supportsGrowth	NCBITaxon:562		BACDIVE:4760
NCBITaxon:83453	biolink:growsIn	DSMZ:9		BACDIVE:3683
DSMZ:9	biolink:supportsGrowth	NCBITaxon:83453		BACDIVE:3683
NCBITaxon:1940526	biolink:growsIn	DSMZ:1534		BACDIVE:158272
